id,raw_text,gender,birth_year,age,zodiac,mbti,height_cm,weight_kg,bmi,hometown,current_location,education,occupation,annual_income,hobbies,personality,has_house,has_car,marital_status,partner_preferences,self_introduction
men_100_98,"编号98

![WechatIMG3085](https://github.com/user-attachments/assets/c91186f8-d2d6-4183-9463-7fef32fabdcb)

```
出生：81
身高：180
体重：85
性别：男
地区：松户
家乡：沈阳
学历：大学
职业：软件
星座：天蝎
房车：有房无车
婚史：离婚
爱好：书法，摄影，户外，运动，音乐，旅行
人格：ENTJ

自我介绍
你好，我是一个真诚、有责任感,阳光自信的男生，81年生，
目前从事IT行业，平时工作虽然有点忙，
但我始终相信生活不仅只有工作，更需要有人一起分享喜怒哀乐。
性格稳重但不失幽默，爱好广泛，喜欢互相尊重，鼓励，支持的交流和交往,
并喜欢美食、看电影，同时享受安静宅家的时光。

择偶要求
希望遇到一个善良、皮肤白净，有爱心、懂得沟通的你，不需要完美，
但愿彼此有共同话题，有心走进对方的世界。
两个人一起努力、一起成长，携手走过未来的每一个春夏秋冬。
```



- (",male,1981,44,天蝎,ENTJ,180,85,26.2,沈阳,松户,大学,软件,,"书法, 户外, 摄影, 旅行, 看电影, 美食, 运动, 音乐",真诚、有责任感，阳光自信，性格稳重但不失幽默,True,False,离婚,希望遇到一个善良、皮肤白净，有爱心、懂得沟通的你，不需要完美，但愿彼此有共同话题，有心走进对方的世界。两个人一起努力、一起成长，携手走过未来的每一个春夏秋冬。,你好，我是一个真诚、有责任感，阳光自信的男生，81年生，目前从事IT行业，平时工作虽然有点忙，但我始终相信生活不仅只有工作，更需要有人一起分享喜怒哀乐。性格稳重但不失幽默，爱好广泛，喜欢互相尊重，鼓励，支持的交流和交往，并喜欢美食、看电影，同时享受安静宅家的时光。
men_100_97,"编号97
```
04江苏南京人。
从小在日本出生长大，
目前大二就读于东京某所国立大学。
巨蟹座，enfp。
喜欢唱歌逛街打球旅游看电影。
喜欢性格开朗，爱笑，
跟自己有共同爱好的00后学生妹。
```

- (",male,2004,21,巨蟹,ENFP,,,,江苏南京,东京,大二,学生,,唱歌逛街打球旅游看电影,,,,,喜欢性格开朗，爱笑，跟自己有共同爱好的00后学生妹,
men_100_95,"编号95

![WechatIMG51](https://github.com/141801/info/assets/42635299/0f8e72a3-fb0c-487c-a3fc-6a6235c9f808)

- (",male,,,,,,,,,,,,,,,,,,,
men_100_94,"编号94
```
男  95年
身高178 体重75左右
现居横滨戸塚
大学院毕业，
现从事IT行业，工作生活稳定

兴趣爱好广泛，健身，攀岩，
徒步，滑雪，滑板等等，不定期发展新爱好

希望对方：
能玩到一起聊的来就行，户外运动，
逛街啥的，或者一起发展寻找新爱好
顺其自然，慢慢来吧。
```

- (",male,1995,30,,,178,75,23.7,,横滨戸塚,大学院毕业,IT行业,,"健身, 徒步, 攀岩, 滑板, 滑雪",,,,,能玩到一起聊的来就行，户外运动，逛街啥的，或者一起发展寻找新爱好，顺其自然，慢慢来吧,兴趣爱好广泛，健身，攀岩，徒步，滑雪，滑板等等，不定期发展新爱好
men_100_93,"编号93
```
男 88年
身高178  体重75
居住东京 户籍辽宁大连
在日13年 从事电商贸易工作
爱好 自驾 旅游 滑雪等
```

- (",male,1988,37,,,178,75,23.7,辽宁大连,东京,,电商贸易,,"旅游, 滑雪, 自驾",,,,,,
men_100_92,"编号92
```
性别：男
出厂日：1988（天秤）
产地：辽宁大连
身高体重：172/63kg
学历：本科大连理工，
硕士九州大学
居住地：琦玉 蕨
工作：内装设计+项目管理
房：已购房，离蕨车站5分钟
属性：性格开朗，可静可动，不抽烟，不酗酒
兴趣爱好（方便找共同点)：
游泳，爬山，户外写生，绘画，
弹琴🎹，听音乐会，看艺术展，
电子游戏，吃吃逛逛
希望找一个聊的来，
三观契合，兴趣爱好相近，
情绪稳定，温柔体贴的女生
```


- (",male,1988,37,天秤,,172,63,21.3,辽宁大连,琦玉蕨,本科大连理工，硕士九州大学,内装设计+项目管理,,"吃吃逛逛, 听音乐会, 弹琴, 户外写生, 游泳, 爬山, 电子游戏, 看艺术展, 绘画",性格开朗，可静可动，不抽烟，不酗酒,True,,,希望找一个聊的来，三观契合，兴趣爱好相近，情绪稳定，温柔体贴的女生,
men_100_91,"编号91

![WechatIMG2207](https://github.com/user-attachments/assets/44916912-0096-4a3a-8e33-2cc846cd61ee)

![WechatIMG2112](https://github.com/user-attachments/assets/899e9a4b-deaa-49b1-8558-998b0ef40162)


- （",male,,,,,,,,,,,,,,,,,,,
men_100_90,"编号90
```
性别：男
出生年：97年
星座：狮子座
身高：180.2
体重：70kg
学历：南京艺术学院
工作：动画编剧（目前学生）
出生地：南通
现居住地：蒲田
mbti:infp
兴趣爱好：动画韩剧电影写小说。
职业：国内当过两年动画编剧，
参与过《我气哭了百万修炼者》《完美世界》
《百炼成神》等动画制作，之前工资6-8k。
目前没房，车房家里已做好准备，
打算在日本呆5年左右，
回国后去南京浙江上海发展，
继续从事动画制作。
母胎单身，嘴比较笨不太会说话，
不是很擅长找聊天话题，
所以希望你最好是e人，
如果是i人不怕尴尬也行[冷汗]
希望你97年以后，未来也打算在上海附近发展的，
哪里人不限，江浙沪附近的最好           
```

- （",male,1997,28,狮子座,INFP,180,70,21.6,南通,蒲田,南京艺术学院,动画编剧,,动画韩剧电影写小说,嘴比较笨不太会说话，不是很擅长找聊天话题,False,,母胎单身,希望你97年以后，未来也打算在上海附近发展的，哪里人不限，江浙沪附近的最好，希望你最好是e人，如果是i人不怕尴尬也行,国内当过两年动画编剧，参与过《我气哭了百万修炼者》《完美世界》《百炼成神》等动画制作，之前工资6-8k。目前没房，车房家里已做好准备，打算在日本呆5年左右，回国后去南京浙江上海发展，继续从事动画制作
men_100_89,"编号89
```
炒奶粉
95年，男，ENFJ，广东深圳
身高172
早大建筑修士毕业
目前在建筑事务所工作
年收450-600
兴趣爱好比较多的正常的
喜欢笑眯眯的一般市民。
弹吉他，摄影，驾驶等各种兴趣爱好……
很喜欢小动物。
希望对方：
有自己喜欢的事情，
拥有独立的人格的阳光的女生。
```


- （",male,1995,30,,ENFJ,172,,,,广东深圳,早大建筑修士毕业,建筑事务所工作,450-600,"喜欢小动物, 弹吉他, 摄影, 驾驶",,,,,有自己喜欢的事情，拥有独立的人格的阳光的女生，喜欢笑眯眯的一般市民,
men_100_85,"编号85
```
男 96年 
身高：168。 籍贯：黑龙江哈尔滨。
现居住地：横滨
喜欢动漫 K歌 摄影 数码
瑜伽 日本 三体
文学爱好者 爱唱歌 爱听音乐
喜欢国风音乐 LoL 创意设计师
好想恋爱 喜欢主动的人
追求三观一致 甜甜的恋爱
✔自我描述
2017年赴日留学、2022年入职营业90周年的日企、
2023年担任包装设计组C组组长。
优点：性格乐观开朗、有上进心和同理心。
缺点：一开始相处时会为了避免冷场和尴尬会主动找话题聊，
活跃气氛。但是如果长期没有得到回应的话就会慢慢冷下来。
✔家庭背景
三口之家！赶上计划生育了，要不然应该有兄弟姐妹
✔兴趣爱好
爱好：摄影、唱歌、做饭、看电影、打卡美食店
最不喜欢的事：加班、尤其是休日加班。
(然而工作性质原因，平日没有一天不加班)
✔爱情观
结婚不是拖垮彼此，而是两个相爱相知相伴的人，
在生活中给对方鼓励和勇气，遇到事情能有个人商量，
在生活累的时候彼此有个依靠，相互安慰和鼓励。
下班回家能有个人一起吃饭，在外面受了委
屈回到家有个温暖的怀抱。
✔理想的另一半
有眼缘！(这很重要！)
以及稳定的情绪。(只是理想、如果有眼缘一切条件なし! )
✔我为什么单身?
平日加班、休日就宅在家里、收拾房间洗衣服做饭。
怎么可能有“出会い”
✔如果遇到对的人，我期待什么样的生活?
我期待一段健康稳定的婚姻。
婚姻里，懂比爱更重要，耐心比适合更重要。
最甜的情话不是我爱你，而是我对你现在有耐心，
以后有，一直都会有耐心。一辈子遇到愿意对你好的人，
或许很容易，但是遇到待你如初的人却很难，
好的婚姻，不是一下子把你感动，
而是细水长流的把你宠着。
```


- （",male,1996,29,,,168,,,黑龙江哈尔滨,横滨,,创意设计师,,"K歌, LoL, 三体, 做饭, 动漫, 听音乐, 唱歌, 国风音乐, 打卡美食店, 摄影, 数码, 文学, 日本, 瑜伽, 看电影",性格乐观开朗、有上进心和同理心,,,,有眼缘，稳定的情绪，三观一致，喜欢主动的人,2017年赴日留学、2022年入职营业90周年的日企、2023年担任包装设计组C组组长。优点：性格乐观开朗、有上进心和同理心。缺点：一开始相处时会为了避免冷场和尴尬会主动找话题聊，活跃气氛。但是如果长期没有得到回应的话就会慢慢冷下来。
